Unnamed: 0,Timestamp,Subject ,Q1.Did you face any internet connectivity issues during the class?,Q2. How many times on average did the meeting disconnect?,Q3.Were you able to understand the concept?,Q4.which platform was used for the class?,Q5.Attendance in the subject?,Q6.The interactive tools used for teaching in classes?,Q7.How many questions did the teacher ask in the class?,Q8.How many questions did you ask the teacher?,Q9.Which study material provided by the university did you use for studying?,Q10.Examination Portal was well managed for this subject? ,Q11.The alternative is provided by the University if the uploading option in the exam portal is not working?,Q12. Was the professor available for the doubts?,Q13.lecture recording was provided?,Q14.Interest in the subject? ,Q15.For how much time on average did you attentively attend the classes?,Q16.Did you get the choice of your Teacher in the subject?,Q17.How many questions in the exam you could have answered on your own?,Q18.Your grade in the subject ,Q19.Give Some Suggestion you have for the online learning (only fill once).
6,1-21-2021 20:40:52,software engineering,1,0,0,['Google Meet'],1,['Presentation'],0,0,"['Physical Books', ' Presentations']","['The Navigation was bad ', ' and portal was laggy.']",1,0,1,1,3,0,0,9,They should make there own Portal with more powerful servers to handle it better.
7,1-21-2021 20:45:19,computer networks,1,0,0,"['Zoom', ' Google Meet']",0,"['Presentation', ' Virtual Board']",0,0,"['E-Books', ' Notes', ' Presentations']",['Facing Problem while uploading'],1,0,1,2,0,2,3,9,"1.The teacher always ask for ON your video for the classes.
2.Ask question randomly every time."
8,1-21-2021 20:48:42,computer networks,1,0,0,['Google Meet'],0,['White board'],0,0,['E-Books'],['Facing Problem while uploading'],1,2,1,3,0,0,3,9,The DATABASE error has to be fixed as it cause lag while uploading files or fetching questions in window.
9,1-21-2021 20:51:20,design and analysis of algorithms,0,1,0,['Zoom'],2,['White board'],1,0,"['Notes', ' Presentations', ' Youtube Videos']",['Server errors were frequent'],1,2,1,0,0,2,2,9,Students should be asked to turn on their videos.
10,1-21-2021 20:51:58,design and analysis of algorithms,1,0,0,['Google Meet'],1,['Presentation'],2,2,['Physical Books'],['Everything was perfect'],1,3,3,3,2,2,1,10,the files uploading interface was not good and should make it more user friendly.
11,1-21-2021 20:55:07,design and analysis of algorithms,0,0,0,['Zoom'],1,"['White board', ' Youtube or Videos(example:-Recorded Lecture of practical shown in class)']",1,0,"['Physical Books', ' Presentations', ' Youtube']","['Facing Problem while uploading', ' File was uploaded but not shown in review', ' Time limit should increase']",1,0,1,1,0,2,3,9,"Keep Internet connectivity good
mentioned the environment "
12,1-21-2021 20:56:16,Data Mining and Data Warehousing,1,0,1,['Google Meet'],1,"['Presentation', ' Virtual Board']",0,0,['Physical Books'],['Everything was perfect'],1,2,1,0,0,0,2,9,The moodle UI should be more user friendly.
13,1-21-2021 20:59:18,software engineering,0,0,1,['Google Meet'],1,"['Presentation', ' Virtual Board']",1,0,"['E-Books', ' Notes', ' Presentations', ' Youtube ']","['Facing Problem while uploading', ' File was uploaded but not shown in review', ' Time constraint']",1,0,1,1,0,2,2,8,lecture should be  pertaining subject matter
14,1-21-2021 21:00:00,internet of things,1,0,0,['Google Meet'],1,"['Presentation', ' Youtube or Videos(example:-Recorded Lecture of practical shown in class)']",0,0,"['E-Books', ' Notes']",['Everything was perfect'],1,3,1,3,1,0,4,9,The Teacher should take the classes wisely as only one class was scheduled for every week . And also teach the subject with interest. 
15,1-21-2021 21:00:44,computer networks,1,0,0,['Zoom'],2,"['White board', ' Presentation', ' Links to reference Material']",2,1,"['E-Books', ' Notes', ' Presentations', ' Youtube Videos']",['Everything was perfect'],1,2,1,0,1,0,3,9,Students should be requested to turn on their cameras.
